Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.07195641645         30311.07152777778         6807.927718805881         -265.3153584239266        1892.187052883864         -2.030124220516834        -1.036514537358339        7.156986212691884         
30311.0726508609          30311.07222222222         6672.380647592429         -326.9257150017574        2317.462988165017         -2.486565099753558        -1.016469526646869        7.014072287329368         
30311.07334530534         30311.07291666667         6509.744030582361         -387.2092543575683        2733.305378974664         -2.932801349156223        -0.9923027304449328       6.842644883275335         
30311.07403974979         30311.07361111111         6320.685048007443         -445.9216190069588        3138.024412243705         -3.367011273242234        -0.9641153092368701       6.643423170366919         
30311.07473419423         30311.07430555555         6105.978605940039         -502.8250257707468        3529.976857540873         -3.78742678535181         -0.9320251380926589       6.417240022013519         
30311.07542863868         30311.075                 5866.503929444265         -557.6892486210535        3907.572769007846         -4.192339732969194        -0.8961661290644157       6.165038125215883         
30311.07612308312         30311.07569444444         5603.240767792695         -610.2925587796547        4269.281968319254         -4.58010866449359         -0.8566874767269584       5.887866417753952         
30311.07681752757         30311.07638888889         5317.265169377275         -660.42261602784          4613.640294334165         -4.949166334531674        -0.8137527824675987       5.586875668430855         
30311.07751197201         30311.07708333333         5009.74480671894          -707.8773045657905        4939.255540161897         -5.298026968667027        -0.7675391011795157       5.263312457897602         
30311.07820641645         30311.07777777778         4681.933904035885         -752.465513255808         5244.812992322381         -5.625292115086292        -0.7182360708649974       4.918512126296479         
30311.0789008609          30311.07847222222         4335.16786222174          -794.0078696139068        5529.080547772968         -5.929654974604232        -0.666045247478131        4.553891947698115         
30311.07959530534         30311.07916666667         3970.857646636377         -832.3374385312771        5790.913446662401         -6.20990417242892         -0.6111795609871016       4.170945144578408         
30311.08028974979         30311.07986111111         3590.483941175451         -867.300385673387         6029.258659323105         -6.464927850813139        -0.5538626353889066       3.771235185506773         
30311.08098419423         30311.08055555556         3195.59104783331          -898.7565904174226        6243.158915362222         -6.693717950711068        -0.4943277708118916       3.356389439559968         
30311.08167863867         30311.08125               2787.780544570712         -926.5801880914537        6431.756325192654         -6.895373843840858        -0.4328166355872282       2.928091993006464         
30311.08237308312         30311.08194444445         2368.704759302055         -950.660031320986         6594.295561536124         -7.069104821904299        -0.369577927731534        2.488076314942423         
30311.08306752756         30311.08263888889         1940.060120890262         -970.9000767038739        6730.126615688539         -7.214231830518072        -0.3048662517763153       2.038118484498622         
30311.08376197201         30311.08333333333         1503.580409345444         -987.2197122816996        6838.707165249709         -7.330189200247389        -0.2389412568776892       1.580030934403934         
30311.08445641645         30311.08402777778         1061.029893749878         -999.5540378154685        6919.604566014368         -7.416526635120017        -0.1720668936423594       1.115656062287323         
30311.0851508609          30311.08472222222         614.1963527958176         -1007.854099491814        6972.497443647387         -7.472911034346127        -0.104510615179491        0.6468592566416438        
30311.08584530534         30311.08541666666         164.8840048620123         -1012.087072772458        6997.176852966899         -7.499127632075496        -0.03654244458498521      0.1755215366815053        
30311.08653974979         30311.08611111111         -285.0936078365854        -1012.236385709475        6993.546996806474         -7.495080431029546        0.0315660683031373        -0.2964676987882497       
30311.08723419423         30311.08680555555         -733.9207487296864        -1008.301777777026        6961.625518398348         -7.460792283036477        0.09954294351511472       -0.7672176553849137       
30311.08792863868         30311.0875                -1179.786615741404        -1000.299292716934        6901.543376155609         -7.396404773658329        0.1671168640259195        -1.234843139514544        
30311.08862308312         30311.08819444444         -1620.892451027665        -988.2612075457279        6813.544291975088         -7.302177632526597        0.2340181983236004        -1.697471776465611        
